Sample,Slice#,Frac_511,Frac_535
530(2),22,0.8799189785123895,0.12008102148761045
530(2),23,0.9233073471468687,0.07669265285313129
530(2),24,0.9478868971992124,0.05211310280078758
535,1,0.0,1.0
535,2,0.9490633293868186,0.050936670613181474
535,3,1.0,0.0
535,4,0.9642585679936095,0.03574143200639047
535,5,0.22717229110740017,0.7728277088925998
535,6,0.03845977807019256,0.9615402219298075
535,7,0.30365020137838694,0.6963497986216132
535,8,0.9351323811817794,0.06486761881822055
535,9,0.945411757905443,0.054588242094556934
535,10,0.669071895173191,0.330928104826809
535,11,0.08988318266609202,0.910116817333908
535,12,0.010246342643624434,0.9897536573563755
535,13,0.5073264692268482,0.49267353077315185
535,14,0.575340115664219,0.424659884335781
535,15,0.0,1.0
535,16,0.9616208554774157,0.038379144522584174
535,17,0.9767652961492613,0.02323470385073867
535,18,0.947355085502446,0.052644914497554034
535,19,0.37718548228237087,0.6228145177176291
535,20,0.9328588390641849,0.06714116093581513
535,21,0.03837746456889406,0.9616225354311059
535,22,0.0,1.0
535,23,0.9521296832973597,0.04787031670264033
535,24,0.02255504966738887,0.9774449503326111
601(2),1,1.0,0.0
601(2),2,0.8989665495260637,0.10103345047393632
601(2),3,0.8418225737125341,0.1581774262874659
601(2),4,0.8586464309017023,0.14135356909829766
601(2),5,0.7608467687511957,0.23915323124880422
601(2),6,0.0,1.0
601(2),7,0.8887715359682922,0.11122846403170779
601(2),8,0.8225646227826899,0.1774353772173101
601(2),9,0.8931367280426402,0.10686327195735984
601(2),10,0.9248202947540919,0.07517970524590811
601(2),11,1.0,0.0
601(2),12,0.8490789507901715,0.15092104920982852
601(2),13,0.7662850015815227,0.23371499841847723
601(2),14,0.939406341237911,0.06059365876208895
601(2),15,0.8615770447007277,0.1384229552992723
601(2),16,0.949664124457477,0.05033587554252303
601(2),17,1.0,0.0
601(2),18,0.7807462384821501,0.21925376151785
601(2),19,1.0,0.0
601(2),20,0.0,1.0
601(2),21,0.915248534120001,0.0847514658799991
601(2),22,0.9239787128445873,0.0760212871554127
601(2),23,1.0,0.0
601(2),24,0.7174871594480018,0.28251284055199816
602(2),1,0.9561712796154899,0.04382872038451023
602(2),2,0.0,1.0
602(2),3,0.0,1.0
602(2),4,0.9803517693553401,0.019648230644659904
602(2),5,0.9599742260896799,0.040025773910320146
602(2),6,0.816566764199027,0.18343323580097312
602(2),7,0.9473893156054527,0.052610684394547365
602(2),8,1.0,0.0
602(2),9,0.9397006171759761,0.06029938282402384
602(2),10,0.0,1.0
602(2),11,0.8522640697765245,0.14773593022347553
602(2),12,0.9652376860908745,0.03476231390912561
602(2),13,0.9644234806952119,0.03557651930478812
602(2),14,0.9467512484492544,0.0532487515507456
602(2),15,0.9476940503403675,0.05230594965963244
602(2),16,0.9260599071697805,0.07394009283021956
602(2),17,0.7666581319371368,0.2333418680628632
602(2),18,0.9698207472372402,0.030179252762759838
602(2),19,0.9489020103361443,0.05109798966385581
602(2),20,0.9373715383475084,0.0626284616524915
602(2),21,0.8357235356172624,0.1642764643827375
602(2),22,0.9789872418369088,0.021012758163091207
602(2),23,0.012593811137631741,0.9874061888623683
602(2),24,0.9397876536595486,0.06021234634045134
